STDTCODE,PROPER ID,,
101,IN.JK.KU,,
102,IN.JK.BR,,
103,IN.JK.SR,,
104,IN.JK.BD,,
105,IN.JK.PU,,
106,IN.JK.AN,,
107,IN.JK.LE,,
108,IN.JK.KR,,
109,IN.JK.DO,,
110,IN.JK.UD,,
111,IN.JK.PO,,
112,IN.JK.RA,,
113,IN.JK.JA,,
114,IN.JK.KT,,
201,IN.HP.CH,,
202,IN.HP.KA,,
203,IN.HP.LS,,
204,IN.HP.KU,,
205,IN.HP.MA,,
206,IN.HP.HA,,
207,IN.HP.UN,,
208,IN.CT.BI,,
209,IN.HP.SO,,
210,IN.HP.SI,,
211,IN.HP.SH,,
212,IN.HP.KI,,
301,IN.PB.GU,,
302,IN.PB.AM,,
303,IN.PB.KA,,
304,IN.PB.JA,,
305,IN.PB.HO,,
306,IN.PB.NS,,
307,IN.PB.RU,,
308,IN.PB.FT,,
309,IN.PB.LU,,
310,IN.PB.MO,,
311,IN.PB.FI,,
312,IN.PB.MU,,
313,IN.PB.FR,,
314,IN.PB.BA,,
315,IN.PB.MA,,
316,IN.PB.SA,,
317,IN.PB.PA,,
401,IN.CH.CH,,
501,IN.UT.UT,,
502,IN.UT.CL,,
503,IN.UT.RP,,
504,IN.UT.TG,,
505,IN.UT.DD,,
506,IN.UT.TG,,
507,IN.UT.PI,,
508,IN.UT.BA,,
509,IN.UT.AL,,
510,IN.UT.CP,,
511,IN.UT.NA,,
512,IN.UT.US,,
513,IN.UT.HA,,
601,IN.HR.PK,,
602,IN.HR.AM,,
603,IN.HR.YN,,
604,IN.HR.KU,,
605,IN.HR.KT,,
606,IN.HR.KR,,
607,IN.HR.PP,,
608,IN.HR.SO,,
609,IN.HR.JI,,
610,IN.HR.FT,,
611,IN.HR.SI,,
612,IN.HR.HI,,
613,IN.HR.BH,,
614,IN.HR.RO,,
615,IN.HR.JH,,
616,IN.HR.MA,,
617,IN.HR.RE,,
618,IN.HR.GU,,
619,IN.HR.FR,,
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
801,IN.RJ.GA,,
802,IN.RJ.HA,,
803,IN.RJ.BI,,
804,IN.RJ.CR,,
805,IN.RJ.JJ,,
806,IN.RJ.AL,,
807,IN.RJ.BP,,
808,IN.RJ.DH,,
809,IN.RJ.KA,,
810,IN.RJ.SM,,
811,IN.RJ.DA,,
812,IN.RJ.JP,,
813,IN.RJ.SK,,
814,IN.RJ.NA,,
815,IN.RJ.JO,,
816,IN.RJ.JS,,
817,IN.RJ.BM,,
818,IN.RJ.JL,,
819,IN.RJ.SR,,
820,IN.RJ.PA,,
821,IN.RJ.AJ,,
822,IN.RJ.TO,,
823,IN.RJ.BU,,
824,IN.RJ.BW,,
825,IN.RJ.RA,,
826,IN.RJ.UD,,
827,IN.RJ.DU,,
828,IN.RJ.BN,,
829,IN.RJ.CT,,
830,IN.RJ.KO,,
831,IN.RJ.BR,,
832,IN.RJ.JW,,
901,IN.UP.SA,,
